2021 super output area - lower layer,Total: All usual residents,,Very good health,,Good health,,Fair health,,Bad health,,Very bad health,
,number,%,number,%,number,%,number,%,number,%,number,%
E01032946 : Leeds 110G,"3,146",100,"1,612",51.2,"1,133",36,322,10.2,61,1.9,18,0.6
E01033008 : Leeds 111A,"2,148",100,"1,273",59.3,725,33.8,121,5.6,21,1,8,0.4
E01033010 : Leeds 111B,"3,483",100,"2,129",61.1,"1,140",32.7,176,5.1,30,0.9,8,0.2
E01033011 : Leeds 111C,"1,343",100,760,56.6,459,34.2,102,7.6,15,1.1,7,0.5
E01033015 : Leeds 111D,"1,512",100,935,61.8,476,31.5,86,5.7,12,0.8,3,0.2
E01033016 : Leeds 111E,"1,047",100,625,59.7,342,32.7,57,5.4,19,1.8,4,0.4
E01011467 : Leeds 112A,"1,992",100,903,45.3,606,30.4,358,18,100,5,25,1.3
E01011468 : Leeds 112B,"2,031",100,950,46.8,609,30,313,15.4,122,6,37,1.8
E01011470 : Leeds 112C,"1,294",100,565,43.7,454,35.1,174,13.4,77,6,24,1.9
E01035054 : Leeds 112F,"2,568",100,"1,539",59.9,854,33.3,156,6.1,18,0.7,1,0
