lsoa11,ahah,ahah_rnk,ahah_pct,h,gp,dent,phar,hosp
E01009701,19.18003366,19420,47,-0.55172453,1.505,1.5175,1.93,1.5175
E01009702,17.11326508,14631,36,-0.667348849,1.0525,1.505,1.9725,1.505
E01009703,30.30051299,35297,85,0.604962466,7.262,5.403,2.412,7.4892
E01009704,31.13664795,35896,87,0.422427516,3.7065,4.2125,3.3565,5.5085
E01009705,31.1489532,35906,87,0.311476285,2.649,4.11,3.3265,4.9635
E01009706,35.53230785,38269,92,0.702649103,4.3165,6.3375,4.85475,7.121
E01009707,16.56637875,13317,32,-0.040566934,2.52665,6.980221053,3.14825,1.2256
E01009708,18.88087119,18752,45,-0.082035439,2.8797,4.7312,2.97725,1.693
E01009709,20.14949769,21512,52,-0.211344791,1.4483,3.3958,2.6641,2.49145
E01009710,20.62030461,22535,55,-0.036091407,2.47825,6.209,1.77445,3.1403
E01009711,26.42329455,31722,77,-0.287284673,2.01375,2.0435,1.95375,3.981
E01009712,21.16446287,23652,57,-0.612496779,1.93875,4.91,0.6155,2.66725
E01009713,24.15649099,28769,69,-0.845803377,1.14375,3.9782,1.2875,1.89075
E01009714,28.03988192,33358,80,-0.375960935,1.78775,2.65825,1.78775,3.80825
E01009715,15.15306606,9998,24,-0.224027664,2.0787,6.6159,2.2725,1.9527
E01009716,24.97084758,29995,72,-0.385968889,2.271,3.0732,1.918,2.5275
E01009717,14.87880951,9328,23,0.020634352,3.1532,7.43885,2.5931,2.1536
E01009718,17.13917198,14693,36,-0.335579691,2.3243,4.3687,2.141,2.222
E01009719,24.05240759,28605,69,-0.437643251,2.44405,1.3585,3.5367,2.5583
E01009720,15.98687111,11974,29,-0.236516275,2.31625,2.58875,2.31625,2.58875
E01009721,14.61741871,8729,21,-1.003258437,1.8058,1.1387,1.5226,0.8516
E01009722,17.1422068,14700,36,-0.450503658,2.99665,0.68,3.23875,3.3858
E01009723,15.74602447,11411,28,-0.276906397,1.565,3.235,1.565,4.3452
E01009724,16.24724319,12591,31,-0.211630387,2.08375,2.5025,2.08375,4.01665
E01009725,12.85631658,5206,13,-0.72674446,1.58,1.58,1.58,1.58
E01009726,17.28183287,15042,37,-0.509051952,1.93,1.93,1.93,1.93
E01009727,17.16272288,14759,36,-0.324855845,2.0427,3.2677,1.8144,3.2677
E01009728,18.28210304,17410,42,-0.075749218,2.54625,3.55895,2.64815,3.60545
E01009729,21.45665848,24208,59,-0.098466829,2.1875,2.89025,3.4363,3.4363
E01009730,15.58346735,11009,27,-0.050308816,2.465,3.4374,2.465,3.6536
E01009731,19.33670167,19772,48,-0.609135025,3.7856,1.26,1.2816,1.3919
E01009732,26.05427219,31343,76,-0.656358898,1.4165,1.957,1.7206,1.9175
E01009733,27.03624336,32338,78,-0.818392943,1.8302,2.064452632,1.318,1.7344
E01009734,24.00367321,28539,69,-0.193546219,3.348136842,2.6438,2.5884,3.089136842
E01009735,18.47677136,17854,43,-0.111889477,3.741,2.7024,2.5884,4.0645
E01009736,26.81341115,32139,78,-0.457641787,1.6335,3.382,1.6523,2.0145
E01009737,23.67119768,28042,68,-0.278746439,1.6882,3.2655,2.0791,2.5882
E01009738,24.39252118,29086,70,-0.676903549,1.5953,1.695,1.3725,1.8614
E01009739,26.57775928,31915,77,-1.025324533,0.88,1.962,1.3284,1.0825
E01009740,22.78438425,26585,64,0.022936788,4.0588,3.2938,2.6461,3.4391
E01009741,23.5386455,27849,67,-0.68746024,1.8727,2.2712,1.661,1.661
E01009742,21.02080518,23364,56,0.049896736,4.7572,2.6336,2.8141,2.6342
E01009743,20.46138443,22213,54,0.422597408,5.25405,4.95175,4.4572,4.8319
E01009744,22.5357855,26146,63,-0.977719422,1.5553,1.5553,1.2725,1.5421
E01009745,22.24077953,25648,62,-0.305457051,4.3898,1.9236,1.7727,1.5612
E01009746,24.21761456,28852,70,-0.584085777,1.8044,2.485,2.485,1.499
E01009747,19.57330868,20294,49,-0.440323148,2.61555,2.66895,2.49895,2.45895
E01009748,17.36936582,15241,37,0.01242392,4.3446,4.3446,2.2471,2.1954
E01009749,21.17744946,23685,57,-0.074362831,4.09715,4.3788,2.1412,1.90195
E01009750,19.75446463,20687,50,-0.033477546,4.9796,5.77745,2.0814,1.443
E01009751,16.54278507,13263,32,-0.417075409,4.9411,4.98965,1.1808,0.78685
E01009752,16.66370113,13543,33,-0.189377851,4.1025,4.0348,2.3287,1.783
E01009753,17.4536473,15455,38,0.002838726,3.5965,4.8547,3.0071,2.34845
E01009754,20.36516535,21984,53,-0.579702857,2.3698,2.485,2.485,1.8832
E01009756,25.32126949,30451,73,-0.541922981,3.114,3.088,0.61,2.8681
E01009757,29.49847245,34707,84,-0.564802142,2.9108,2.4893,1.2673,1.72255
E01009758,14.53180048,8540,21,-0.761735152,1.04,1.04,1.04,3.34805
E01009759,22.04086612,25265,61,-0.095567739,2.95645,2.1398,1.6299,3.9484
E01009760,18.27817207,17395,42,-0.397333642,2.2175,1.7488,1.7488,2.1263
E01009762,20.68841271,22686,55,-0.263459449,2.17,2.17,2.095,3.3306
E01009763,21.60140394,24495,59,0.089884343,2.9027,3.6403,2.7024,3.1359
E01009764,22.23217332,25620,62,-0.13511496,2.2719,2.4233,2.5869,2.2719
E01009765,21.7187361,24707,60,-0.475352393,1.8874,1.8178,1.59,1.8178
E01009766,20.27993901,21789,53,-0.36969852,1.78,2.5253,1.69,2.8228
E01009767,24.66787319,29539,71,-0.129792152,1.995,2.807,2.80125,1.9525
E01009768,23.95376605,28480,69,-0.746979996,1.4469,1.17345,1.263,1.4759
E01009769,23.29872055,27494,66,-0.599374475,1.335,1.60375,1.72645,1.35045
E01009770,21.2859902,23881,58,-0.083280469,2.1274,4.6075,1.7249,3.55305
E01009771,16.23323947,12562,31,-0.734596262,0.7625,2.822,0.7625,3.45
E01009772,20.10699929,21420,52,-0.632489208,2.0323,1.6147,2.2331,1.4797
E01009773,24.58365447,29392,71,-0.988778144,1.7376,1.0616,1.4302,1.752
E01009774,17.42332205,15393,37,-0.1756567,2.2954,2.8366,2.2954,3.0885
E01009775,23.02606524,27031,65,-0.116673093,3.0482,2.4245,1.6932,3.515
E01009776,23.49589458,27779,67,-0.070602378,2.7219,2.846,1.895,4.1236
E01009777,19.57883779,20306,49,-0.290283835,2.765,2.1782,2.4211,3.2381
E01009778,21.26858303,23853,58,-0.405365128,1.5483,2.3375,2.406,3.3012
E01009779,38.43184625,39338,95,-0.968328073,0.7325,0.61,0.6867,5.9757
E01009780,28.5317303,33859,82,0.120393743,3.255,3.8435,2.5114,3.0182
E01009781,24.9486948,29958,72,-0.03917058,2.2998,2.0439,2.1342,5.4344
E01009782,25.82917584,31054,75,0.106481487,2.9621,2.2025,2.7965,5.9637
E01009783,27.99351312,33300,80,-0.278727751,1.8363,1.23875,1.6707,6.0066
E01009784,32.2711634,36606,88,0.242569841,2.6075,5.8945,2.6075,4.776
E01009785,26.01149858,31285,75,-0.250470389,1.5663,1.861,1.5249,5.6443
E01009786,24.57880995,29385,71,-0.04374419,1.93375,2.44445,2.00905,5.68925
E01009787,22.96424103,26915,65,0.094511256,1.967,4.1254,2.025,5.9947
E01009788,21.4910061,24278,59,-0.448340527,3.1078,1.4963,1.4963,2.617
E01009789,24.12545863,28715,69,-0.03313478,4.1146,2.1723,2.1723,3.6608
E01009790,22.9928971,26968,65,-0.525360436,3.86135,1.01145,1.01145,2.9487
E01009791,28.3611791,33678,81,-0.126965256,2.2356,2.835,2.3916,4.185
E01009792,25.46900939,30639,74,-0.374036677,2.0648,1.8634,1.5456,2.878
E01009793,23.94260349,28467,69,-0.427217649,1.7731,1.87615,1.7908,3.95765
E01009794,27.34635203,32643,79,0.048959428,3.2566,3.2725,3.3635,3.4635
E01009795,32.81226478,36906,89,-0.733362025,0.9265,2.3925,0.738,3.4189
E01009796,23.80063297,28226,68,0.124510654,2.9163,3.5112,2.9163,4.692905263
E01009797,25.6787315,30876,74,-0.4152454,2.5056,1.8166,2.2837,3.397
