KS301EW - Health and provision of unpaid care,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 12 May 2025],,,,,,,,,,,,
,,,,,,,,,,,,
population,All usual residents,,,,,,,,,,,
units,Persons,,,,,,,,,,,
date,2011,,,,,,,,,,,
rural urban,Total,,,,,,,,,,,
,,,,,,,,,,,,
2011 super output area - lower layer,All categories: Long-term health problem or disability,,Very good health,,Good health,,Fair health,,Bad health,,Very bad health,
,number,%,number,%,number,%,number,%,number,%,number,%
E01011698 : Leeds 001A,"1,503",100.0,702,46.7,551,36.7,176,11.7,60,4.0,14,0.9
E01011699 : Leeds 001B,"1,345",100.0,732,54.4,442,32.9,129,9.6,37,2.8,5,0.4
E01011701 : Leeds 001C,"1,287",100.0,697,54.2,397,30.8,152,11.8,30,2.3,11,0.9
E01011702 : Leeds 001D,"1,184",100.0,674,56.9,364,30.7,120,10.1,17,1.4,9,0.8
E01011703 : Leeds 001E,"1,279",100.0,643,50.3,458,35.8,145,11.3,23,1.8,10,0.8
E01011697 : Leeds 002A,"2,091",100.0,885,42.3,756,36.2,336,16.1,85,4.1,29,1.4
E01011700 : Leeds 002B,"1,353",100.0,637,47.1,490,36.2,174,12.9,42,3.1,10,0.7
E01011704 : Leeds 002C,"1,770",100.0,730,41.2,656,37.1,270,15.3,88,5.0,26,1.5
E01011705 : Leeds 002D,"1,378",100.0,577,41.9,517,37.5,198,14.4,65,4.7,21,1.5
E01011581 : Leeds 003A,"1,469",100.0,681,46.4,522,35.5,194,13.2,54,3.7,18,1.2
E01011582 : Leeds 003B,"1,651",100.0,698,42.3,597,36.2,261,15.8,72,4.4,23,1.4
E01011583 : Leeds 003C,"1,479",100.0,753,50.9,491,33.2,179,12.1,42,2.8,14,0.9
E01011584 : Leeds 003D,"1,250",100.0,656,52.5,409,32.7,133,10.6,44,3.5,8,0.6
E01011569 : Leeds 004A,"1,662",100.0,844,50.8,561,33.8,202,12.2,47,2.8,8,0.5
E01011571 : Leeds 004B,"1,597",100.0,764,47.8,524,32.8,225,14.1,67,4.2,17,1.1
E01011572 : Leeds 004C,"1,763",100.0,902,51.2,623,35.3,179,10.2,48,2.7,11,0.6
E01011573 : Leeds 004D,"1,341",100.0,725,54.1,445,33.2,128,9.5,35,2.6,8,0.6
E01011574 : Leeds 004E,"1,456",100.0,632,43.4,459,31.5,274,18.8,73,5.0,18,1.2
E01011707 : Leeds 005A,"1,359",100.0,628,46.2,468,34.4,185,13.6,59,4.3,19,1.4
E01011709 : Leeds 005B,"1,588",100.0,825,52.0,511,32.2,198,12.5,41,2.6,13,0.8
E01011710 : Leeds 005C,"1,421",100.0,772,54.3,467,32.9,139,9.8,36,2.5,7,0.5
E01011711 : Leeds 005D,"1,389",100.0,691,49.7,456,32.8,181,13.0,52,3.7,9,0.6
E01011712 : Leeds 005E,"1,359",100.0,687,50.6,461,33.9,160,11.8,47,3.5,4,0.3
E01011561 : Leeds 006A,"1,217",100.0,602,49.5,441,36.2,137,11.3,27,2.2,10,0.8
E01011696 : Leeds 006B,"1,498",100.0,783,52.3,485,32.4,179,11.9,42,2.8,9,0.6
E01011706 : Leeds 006C,"1,526",100.0,927,60.7,458,30.0,112,7.3,26,1.7,3,0.2
E01011708 : Leeds 006D,"1,468",100.0,792,54.0,485,33.0,132,9.0,48,3.3,11,0.7
E01011713 : Leeds 006E,"1,843",100.0,"1,065",57.8,565,30.7,171,9.3,34,1.8,8,0.4
E01011570 : Leeds 007A,"2,284",100.0,"1,283",56.2,713,31.2,215,9.4,62,2.7,11,0.5
E01011576 : Leeds 007C,"1,432",100.0,770,53.8,460,32.1,157,11.0,31,2.2,14,1.0
E01032503 : Leeds 007E,"1,465",100.0,856,58.4,422,28.8,140,9.6,34,2.3,13,0.9
E01032504 : Leeds 007F,"1,584",100.0,829,52.3,526,33.2,181,11.4,31,2.0,17,1.1
E01011266 : Leeds 008A,"2,027",100.0,"1,215",59.9,647,31.9,122,6.0,31,1.5,12,0.6
E01011270 : Leeds 008B,"1,616",100.0,888,55.0,533,33.0,153,9.5,36,2.2,6,0.4
E01011279 : Leeds 008C,"1,312",100.0,640,48.8,454,34.6,175,13.3,35,2.7,8,0.6
E01011280 : Leeds 008D,"1,757",100.0,935,53.2,600,34.1,188,10.7,21,1.2,13,0.7
E01011265 : Leeds 009A,"1,625",100.0,763,47.0,538,33.1,247,15.2,63,3.9,14,0.9
E01011267 : Leeds 009B,"1,496",100.0,655,43.8,521,34.8,222,14.8,69,4.6,29,1.9
E01011271 : Leeds 009C,"2,158",100.0,"1,222",56.6,695,32.2,192,8.9,40,1.9,9,0.4
E01011272 : Leeds 009D,"1,521",100.0,850,55.9,496,32.6,135,8.9,34,2.2,6,0.4
E01011268 : Leeds 010A,"1,394",100.0,569,40.8,536,38.5,176,12.6,82,5.9,31,2.2
E01011273 : Leeds 010B,"1,487",100.0,710,47.7,510,34.3,193,13.0,56,3.8,18,1.2
E01011274 : Leeds 010C,"1,488",100.0,568,38.2,507,34.1,271,18.2,113,7.6,29,1.9
E01011275 : Leeds 010D,"1,350",100.0,598,44.3,488,36.1,187,13.9,60,4.4,17,1.3
