LSOA21CD,ah4dent,ah4gp,ah4hosp,ah4phar,ah4leis,ah4h
S01010966,1.6542,1.3217,6.9269,1.4128,3.5658,-0.0561
S01010967,1.5592,0.8356,6.7827,1.3565,3.227,-0.2846
S01010968,1.0825,0.8268,6.3267,1.0982,2.771,-0.5262
S01010969,1.3028,1.3083,6.0838,1.3846,2.5454,-0.25
S01010970,1.536,1.708,6.8333,1.2558,3.4811,-0.0442
S01010971,3.9538,4.5133,6.798,4.2353,8.9656,0.9799
S01010972,5.2946,5.8541,8.1389,5.5761,10.625,1.1734
S01010973,3.8602,4.4197,6.7044,4.1417,9.1906,0.9684
S01010974,1.16,2.5614,4.293,2.0854,6.7792,0.2201
S01010975,0.775,2.0682,3.9905,1.6623,6.4766,-0.0661
S01010976,1.1127,2.7633,4.4008,2.2514,6.887,0.2582
S01010977,0.8209,1.8796,3.5172,1.3678,6.0033,-0.1774
S01010978,0.8777,1.5746,3.237,1.0627,5.7231,-0.3193
S01010979,1.1583,1.5971,3.8164,1.2992,6.3026,-0.1083
S01010980,1.1261,1.5353,3.1729,1.0234,5.659,-0.2662
S01010981,0.6994,1.0211,2.9358,0.6155,5.4219,-0.7846
S01010982,2.1067,2.0387,4.328,1.9123,5.6012,0.2728
S01010983,0.9536,0.8722,2.4408,0.8314,4.927,-0.6786
S01010984,1.8506,1.7889,2.0862,1.7479,4.5724,-0.0195
S01010985,1.4356,1.5794,2.1226,1.3329,4.6088,-0.2204
S01010986,1.5429,1.9521,3.5438,1.4402,5.3822,0.0353
S01010987,2.1486,2.5578,4.077,2.046,5.0346,0.3369
S01010988,2.9794,3.3886,3.956,2.8767,4.3465,0.5586
S01010989,3.6726,4.0819,5.5017,3.57,5.8922,0.8102
S01010990,1.5122,1.9215,3.5297,1.4096,5.8212,0.0296
S01010991,4.2259,4.648,5.5331,4.0243,5.9147,0.888
S01010992,2.8265,4.4107,3.7095,2.2914,2.4634,0.3868
S01010993,0.7965,2.7649,1.4018,1.4915,1.3763,-0.6282
S01010994,3.203,3.771,4.165,3.2514,3.3319,0.5758
S01010995,1.9713,1.9391,1.4731,1.8686,3.9593,-0.0845
S01010996,2.5697,2.9046,1.8992,2.5697,2.5048,0.1522
S01010997,2.3593,2.7941,3.114,2.3593,2.2839,0.1874
S01010998,2.0913,2.5261,3.1553,2.0913,2.016,0.0599
S01010999,0.4047,0.8395,3.8143,0.4047,0.3293,-1.8638
S01011000,5.3668,4.9301,6.9866,2.8987,5.7761,0.9064
S01011001,4.7159,4.0826,5.9178,0.8862,6.587,0.4507
S01011002,5.0206,4.3874,6.2226,0.8433,6.8918,0.4729
S01011003,4.774,4.1408,5.976,1.2011,6.6452,0.5703
S01011004,5.1896,4.5564,6.3916,2.4844,7.0608,0.8637
S01011005,1.1279,1.1508,4.9525,1.3277,1.4675,-0.5269
S01011006,1.2934,2.9733,6.777,1.8403,3.292,0.1766
S01011007,1.4557,2.5975,5.9213,0.9239,2.4364,-0.1688
S01011008,1.7392,3.1209,6.4447,1.2103,2.9598,0.097
S01011009,2.32,3.8679,7.1918,1.9598,3.7068,0.4725
S01011010,0.7133,1.0585,4.2074,0.6525,0.7224,-1.1925
S01011011,0.7309,0.7382,4.6625,0.9552,1.1775,-1.0245
S01011012,1.6987,2.0838,5.4076,1.2624,1.9226,-0.1485
S01011013,1.8537,2.6801,6.0039,0.8766,2.5189,-0.0976
S01011014,2.7139,3.1993,5.6703,1.8085,3.0382,0.3514
S01011015,2.905,3.6476,6.6024,1.9996,3.4864,0.4945
S01011016,3.4792,5.4611,8.6184,4.1465,5.5536,0.945
S01011017,8.2196,6.7271,11.6721,6.5904,9.7419,1.3346
S01011018,12.5616,1.8854,15.2393,1.8854,13.3601,0.957
S01011019,10.2432,5.1205,15.5587,4.7666,13.6795,1.4004
